UserID,Strain,Gender,average_Bgd
202CC,CC002,FEMALE,0.370714286
208CC,CC002,MALE,0.425
213CC,CC013,MALE,0.294285714
220CC,CC037,MALE,0.52375
226CC,CC013,FEMALE,0.294285714
233CC,CC032,FEMALE,0.426428571
235CC,CC013,MALE,0.292857143
236CC,CC013,MALE,0.272857143
239CC,CC037,MALE,0.505
247CC,CC002,MALE,0.489285714
251CC,CC011,MALE,0.475714286
253CC,CC013,FEMALE,0.2425
254CC,CC011,FEMALE,0.477857143
255CC,CC061,MALE,0.195833333
256CC,CC061,MALE,0.252142857
257CC,CC061,MALE,0.246428571
258CC,CC040,FEMALE,0.148571429
260CC,CC061,FEMALE,0.160833333
261CC,CC042,FEMALE,0.170833333
263CC,CC037,FEMALE,0.305833333
280CC,CC051,MALE,0.232857143
882CC,CC037,FEMALE,0.371428571
893CC,CC061,FEMALE,0.239166667
894CC,CC037,MALE,0.290833333
903CC,CC032,MALE,0.74375
906CC,CC032,MALE,0.387142857
907CC,CC002,MALE,0.492142857
915CC,CC042,FEMALE,0.362142857
919CC,CC019,MALE,0.256428571
921CC,CC051,FEMALE,0.35
922CC,CC051,FEMALE,0.225714286
923CC,CC051,FEMALE,0.391428571
925CC,CC019,MALE,0.282142857
927CC,CC019,FEMALE,0.130833333
928CC,CC019,FEMALE,0.155714286
934CC,CC011,MALE,0.402142857
937CC,CC011,FEMALE,0.196428571
938CC,CC011,FEMALE,0.275
942CC,CC013,FEMALE,0.215714286
946CC,CC037,FEMALE,0.362142857
951CC,CC040,FEMALE,0.22
954CC,CC040,MALE,0.276666667
B6C3F1,B6C3,FEMALE,0.163571429
B6C3F2,B6C3,FEMALE,0.197142857
B6C3F3,B6C3,FEMALE,0.202857143
B6C3M1,B6C3,MALE,0.265
B6C3M2,B6C3,MALE,0.205
B6C3M3,B6C3,MALE,0.190714286
BALBCF,BALBC,FEMALE,0.245
BALBCF1,BALBC,FEMALE,0.265833333
BALBCF2,BALBC,FEMALE,0.275714286
BALBCM1,BALBC,MALE,0.301785714
BALBCM2,BALBC,MALE,0.350833333
BALBCM3,BALBC,MALE,0.30625
C3HF1,C3H,FEMALE,0.312142857
C3HF2,C3H,FEMALE,0.278571429
C3HF3,C3H,FEMALE,0.265
C3HM1,C3H,MALE,0.31875
C3HM2,C3H,MALE,0.277142857
C3HM3,C3H,MALE,0.232857143
C57BLF1,C57,FEMALE,0.378571429
C57BLF2,C57,FEMALE,0.182857143
C57BLF3,C57,FEMALE,0.219285714
C57BLM1,C57,MALE,0.181666667
C57BLM2,C57,MALE,0.227142857
C57BLM3,C57,MALE,0.230714286
CBAF1,CBA,FEMALE,0.395
CBAF2,CBA,FEMALE,0.287142857
CBAF3,CBA,FEMALE,0.286666667
CBAM1,CBA,MALE,0.550714286
CBAM2,CBA,MALE,0.375714286
CBAM3,CBA,MALE,0.367142857